Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
Composite dishes,Meat terrine,21,28,21,28,28,21,21
Composite dishes,Mixed green salad,28,16,26,72.6,51,26,19
Composite dishes,Mixed vegetable salad,13,20.8,36,72.6,51,13,25
Composite dishes,Mixed vegetables soup,9.6,21,15,21,5,9.6,12
Composite dishes,"Mixed vegetables, boiled",13,35.5,21,35.5,43,52,35
Composite dishes,"Mixed vegetables, braised",22,50.9,22,50.9,50.9,22,22
Composite dishes,"Mixed vegetables, fried",40.8,52.4,21,52.4,30,40.8,30
Composite dishes,"Mixed vegetables, grilled",,25.5,23,25.5,25.5,,23
Composite dishes,Moussaka,65.4,137,25,137,64,,64
Composite dishes,Mushroom based dishes,10.6,59,59,59,10,10.6,10
Composite dishes,Mushroom salad,25.2,18.1,35,18.1,18.1,25.2,35
Composite dishes,Mushroom soup,38.8,45.5,14,17,5,34,30
Composite dishes,Omelette with bacon,52,58.4,52,58.4,58.4,52,52
Composite dishes,Omelette with mushrooms,42,58,42,58,58,42,42
Composite dishes,Omelette with vegetables,71.7,101,50,101,31,,31
Composite dishes,"Omelette, plain",56.8,80.2,53,80.2,51,56.8,51
Composite dishes,Onion soup,59.9,20,7,12,5,5,16
Composite dishes,Paella,17,31,12,31,31,17,12
Composite dishes,Pasta based dishes (cooked),68.9,140,140,140,140,68.9,140
Composite dishes,"Pasta based dishes (cooked), PROCESS Baking",,170,170,170,170,,170
Composite dishes,"Pasta based dishes (cooked), PROCESS Cooking in water",115,115,115,115,115,115,115
Composite dishes,"Pasta based dishes (cooked), PROCESS Steaming",115,115,115,115,115,115,115
Composite dishes,"Pasta-based dishes, uncooked",61,61,61,61,61,61,61
Composite dishes,"Pasta-based dishes, uncooked, PROCESS Baking",20,20,20,20,20,20,20
Composite dishes,"Pasta-based dishes, uncooked, PROCESS Cooking in water",434,141,20,141,66,434,115
Composite dishes,"Pasta-based dishes, uncooked, PROCESS Steaming",434,20,20,20,66,434,115
Composite dishes,"Pasta, cooked, with cheese/cream",,36.1,270,36.1,36.1,270,270
