Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
Animal and vegetable fats and oils,"Spreadable vegetable fat-deprecated, QUAL Low sodium / reduced salt",0.025,0.025,0.025,0.025,,0.025,
Animal and vegetable fats and oils,"Sunflower seed oil, edible",0,0,0,0,0,0,0
Animal and vegetable fats and oils,Tallow from other animals,0,0,0,0,0,0,0
Animal and vegetable fats and oils,Traditional margarine,,0.01,0.025,,,,
Animal and vegetable fats and oils,"Traditional margarine, QUAL Half fat or medium fat",0.025,0.025,0.05,0.025,,0.025,
Animal and vegetable fats and oils,"Traditional margarine, QUAL Low fat (naturally or reduced)",0.025,0.025,0.05,0.025,,0.025,
Animal and vegetable fats and oils,"Traditional margarine, QUAL Low sodium / reduced salt",0.025,0.025,0.025,0.025,,0.025,
Animal and vegetable fats and oils,Walnut oil,0,,0,,0,0,0
Animal and vegetable fats and oils,Wheat germ oil,0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions",Camomile infusion,0.004,0.004,0.004,0.004,0.004,0.004,0.004
"Coffee, cocoa, tea and infusions",Chicory coffee infusion,0.003,0.18,0.003,0.18,,0.003,
"Coffee, cocoa, tea and infusions",Chicory coffee ingredient,0.01,0.11,0.01,0.11,0.03,0.01,0.03
"Coffee, cocoa, tea and infusions",Cocoa beans (fermented or dried),0.18,0.18,0.18,0.18,0.18,0.18,0.18
"Coffee, cocoa, tea and infusions",Cocoa beverages,0.162,0.15,0.149,0.15,0.15,0.162,0.21
"Coffee, cocoa, tea and infusions","Cocoa beverages, QUAL Low / Reduced sugar",0.101,0.101,0.101,0.101,0.32,0.101,0.32
"Coffee, cocoa, tea and infusions","Cocoa beverages, QUAL Sugar free",0.078,0.101,0.101,0.101,0.2,0.101,0.2
"Coffee, cocoa, tea and infusions",Cocoa mass,0.18,0.22,0.18,0.22,0.22,0.18,0.18
"Coffee, cocoa, tea and infusions",Cocoa powder,0.15,0.186,0.18,0.3,0.12,0.15,0.06
"Coffee, cocoa, tea and infusions","Cocoa powder, QUAL Low / Reduced sugar",0.18,0.18,0.18,0.18,0.18,0.18,0.18
"Coffee, cocoa, tea and infusions","Cocoa powder, QUAL Sugar free",0.18,0.18,0.18,0.18,0.18,0.18,0.18
"Coffee, cocoa, tea and infusions",Coffee (average strenght) beverage,0,0.03,0.01,0.08,0.01,0,0.01
"Coffee, cocoa, tea and infusions",Coffee (weak strenght) beverage,0.012,0.012,0.012,0.076,0.01,0.012,0.01
"Coffee, cocoa, tea and infusions","Coffee beans, roasted",0.2,0.2,0.2,0.2,0.2,0.2,0.2
"Coffee, cocoa, tea and infusions",Coffee beverage decaffeinated,0.014,0.066,0.01,0.18,0.014,0.014,0.01
