Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
"Coffee, cocoa, tea and infusions",Herbal infusion materials from leaves and herbs,262,262,262,262,262,262,262
"Coffee, cocoa, tea and infusions",Hot chocolate,0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions","Hot chocolate with added ingredients, QUAL Sugar free",1,1,1,1,1,1,1
"Coffee, cocoa, tea and infusions","Hot chocolate, QUAL Low / Reduced sugar",0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions","Hot chocolate, QUAL Sugar free",1,1,1,1,1,1,1
"Coffee, cocoa, tea and infusions",Instant coffee (beverage),0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions",Instant coffee powder,,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions","Instant coffee powder, decaffeinated",0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions","Instant coffee powder, decaffeinated, QUAL Low / Reduced sugar",0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions","Instant coffee powder, decaffeinated, QUAL Sugar free",0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions","Instant coffee powder, QUAL Low / Reduced sugar",0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions","Instant coffee powder, QUAL Sugar free",0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions",Mixed coffee imitates,0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions",Non-fermented tea leaves (green or white tea),262,262,262,262,262,262,262
"Coffee, cocoa, tea and infusions","Non-fermented tea, infusion",0,0,0,0,0,,0
"Coffee, cocoa, tea and infusions",Tea leaves and stalks decaffeinated,262,262,262,262,262,262,262
"Coffee, cocoa, tea and infusions",Tea leaves and stalks with fruit and flavours,0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions","Tea leaves and stalks, fermented",262,262,262,262,262,262,262
"Coffee, cocoa, tea and infusions",Tea powder ingredients and extracts,0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions","Tea, decaffeinated, infusion",0,0,0,0,0,0,0
Composite dishes,Beans and meat meal,4,4,4,4,4,4,4
Composite dishes,Beans and vegetables meal,,4,4,4,4,14.2,4
Composite dishes,Beef loaf,9,9,9,9,9,9,9
Composite dishes,Bouillabaisse,,12,12,12,12,,12
Composite dishes,Cereal products and grains based soup,,9,9,9,9,,9
Composite dishes,Cheese omelette,9,9,9,9,9,9,9
Composite dishes,Cheese savoury pie,,4,4,4,,,4
Composite dishes,Creamed vegetable mix,,17,17,17,17,,17
Composite dishes,Dairy/egg soup,3,3,3,3,3,,3
Composite dishes,Dolma,17.5,,,,,,
Composite dishes,"Dolma, PROCESS Baking",22,22,22,22,22,22,22
Composite dishes,"Dolma, PROCESS Cooking in water",22,22,22,22,22,22,22
Composite dishes,"Dolma, PROCESS Steaming",22,22,22,22,22,22,22
Composite dishes,Doner kebab,,3,3,3,3,,3
Composite dishes,Fish and potatoes meal,1,1,1,1,1,1,1
Composite dishes,Fish and rice meal,,1,1,1,1,,1
Composite dishes,Fish and vegetables meal,20,20,20,20,20,,20
Composite dishes,Fish balls,1,1,1,1,1,,1
Composite dishes,"Fish balls, PROCESS Baking",2,2,2,2,2,2,2
Composite dishes,"Fish balls, PROCESS Cooking in water",2,2,2,2,2,2,2
Composite dishes,"Fish balls, PROCESS Frying",,2,2,2,,,2
Composite dishes,"Fish balls, PROCESS Steaming",2,2,2,2,2,2,2
Composite dishes,"Fish fingers, breaded",,0,0,0,0,,0
Composite dishes,Fish gratin,0,0,0,0,0,,0
Composite dishes,Fish pâté,,4,4,4,4,,4
Composite dishes,Fish soup,7,7,7,7,7,7,7
Composite dishes,"Fish soup, INGRED Tap water",4,4,4,4,4,4,4
Composite dishes,Fishcakes,,2,2,2,2,,2
Composite dishes,Fried eggs,10,10,10,10,10,10,10
Composite dishes,Fruit soup,1,1,1,1,1,1,1
Composite dishes,Goulash,1,1,1,1,1,1,1
Composite dishes,Greek salad,16,16,16,16,16,16,16
Composite dishes,Hamburger with bread,7.33,5,5,5,5,,5
Composite dishes,Hot dog with bread,,5,5,5,5,,5
Composite dishes,Lasagna,3,3,3,3,3,3,3
Composite dishes,Legume (beans) soup,,8,8,8,8,,8
Composite dishes,Legumes based dishes,5,5,5,5,5,5,5
Composite dishes,Meat and vegetable soup,6,6,6,6,6,6,6
Composite dishes,Meat balls,,14,14,14,,,14
Composite dishes,Meat burger (no sandwich),14,14,14,14,14,14,14
Composite dishes,Meat in aspic,0,0,0,0,0,0,0
Composite dishes,Meat loaf,8,8,8,8,8,,8
Composite dishes,"Meat loaf with cheese, vegetables or other",9,9,9,9,9,9,9
Composite dishes,Meat soup,5,5,5,5,5,5,5
Composite dishes,Meat stew,22,22,22,22,22,22,22
Composite dishes,Meat terrine,28,28,28,28,28,28,28
Composite dishes,Mixed green salad,107,107,107,107,107,107,107
Composite dishes,Mixed vegetable salad,31,31,31,31,31,31,31
Composite dishes,Mixed vegetables soup,19,19,19,19,19,19,19
Composite dishes,"Mixed vegetables, boiled",,25,25,25,25,,25
Composite dishes,"Mixed vegetables, braised",25,25,25,25,25,25,25
Composite dishes,"Mixed vegetables, fried",24,24,24,24,24,24,24
Composite dishes,"Mixed vegetables, grilled",,26,26,26,26,,26
Composite dishes,Moussaka,6,6,6,6,6,,6
