Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
"Coffee, cocoa, tea and infusions","Coffee drink, café macchiato",0.019,0.019,0.019,0.019,0.019,0.019,0.019
"Coffee, cocoa, tea and infusions","Coffee drink, cappuccino",0.055,0.055,0.055,0.055,,0.055,
"Coffee, cocoa, tea and infusions",Coffee espresso (beverage),0.05,0.05,0.05,0.05,0.01,0.05,0.01
"Coffee, cocoa, tea and infusions","Coffee ground, roasted",1.55,1.55,1.55,1.55,1.55,1.55,1.55
"Coffee, cocoa, tea and infusions","Coffee ground, roasted and decaffeinated",0.82,0.82,0.82,0.82,0.82,0.82,0.82
"Coffee, cocoa, tea and infusions",Coffee with milk or cream,0.1,0.007,0.1,0.007,0.01,0.1,0.01
"Coffee, cocoa, tea and infusions",Fermented tea infusion,0.025,0.029,0.03,0.01,0.01,0.025,0.01
"Coffee, cocoa, tea and infusions",Flowers used for herbal infusions,1.5,1.5,1.5,1.5,1.5,1.5,1.5
"Coffee, cocoa, tea and infusions",Fruit infusion,0.005,0.015,0.015,0.015,0.015,0.005,0.015
"Coffee, cocoa, tea and infusions",Herbal infusion materials from leaves and herbs,2.49,2.49,2.49,2.49,2.49,2.49,2.49
"Coffee, cocoa, tea and infusions",Hot chocolate,0.0651,0.103,0.15,0.103,0.06,0.0651,0.07
"Coffee, cocoa, tea and infusions","Hot chocolate with added ingredients, QUAL Sugar free",0.098,0.098,0.098,0.098,0.098,0.098,0.098
"Coffee, cocoa, tea and infusions","Hot chocolate, QUAL Low / Reduced sugar",0.15,0.15,0.15,0.15,0.08,0.15,0.08
"Coffee, cocoa, tea and infusions","Hot chocolate, QUAL Sugar free",0.098,0.098,0.098,0.098,0.098,0.098,0.098
"Coffee, cocoa, tea and infusions",Instant coffee (beverage),0.001,0.008,0.001,,0.02,0.001,0.02
"Coffee, cocoa, tea and infusions",Instant coffee powder,,0.12,0.064,0.62,0.1,0.1,0.62
"Coffee, cocoa, tea and infusions","Instant coffee powder, decaffeinated",0.069,0.069,0.069,0.07,0.069,0.069,0.069
"Coffee, cocoa, tea and infusions","Instant coffee powder, decaffeinated, QUAL Low / Reduced sugar",0.069,0.069,0.069,0.069,0.069,0.069,0.069
"Coffee, cocoa, tea and infusions","Instant coffee powder, decaffeinated, QUAL Sugar free",0.069,0.069,0.069,0.069,0.069,0.069,0.069
"Coffee, cocoa, tea and infusions","Instant coffee powder, QUAL Low / Reduced sugar",0.001,0.064,0.064,0.064,0.001,0.001,0.064
"Coffee, cocoa, tea and infusions","Instant coffee powder, QUAL Sugar free",0.001,0.064,0.064,0.064,0.001,0.001,0.064
"Coffee, cocoa, tea and infusions",Jasmine infusion,0.015,0.015,0.015,0.015,0.015,0.015,0.015
"Coffee, cocoa, tea and infusions",Malt coffee infusion,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"Coffee, cocoa, tea and infusions",Mixed coffee imitates,0.05,,0.05,,,0.05,0.05
"Coffee, cocoa, tea and infusions",Non-fermented tea leaves (green or white tea),2.49,2.49,2.49,2.49,2.49,2.49,2.49
"Coffee, cocoa, tea and infusions","Non-fermented tea, infusion",0.005,0.029,0.03,0.029,0.03,,0.03
"Coffee, cocoa, tea and infusions",Rooibos infusion,0.015,0.015,0.015,0.015,0.015,0.015,0.015
"Coffee, cocoa, tea and infusions",Tea infusion with added flavouring ingredients,0.0056,,,,0.0056,,
"Coffee, cocoa, tea and infusions",Tea leaves and stalks decaffeinated,2.49,2.49,2.49,1.6,2.49,2.49,2.49
"Coffee, cocoa, tea and infusions",Tea leaves and stalks with fruit and flavours,1.5,1.5,1.5,1.5,1.5,1.5,1.5
"Coffee, cocoa, tea and infusions","Tea leaves and stalks, fermented",2.5,2.49,2.49,2.49,2.5,2.5,2.49
"Coffee, cocoa, tea and infusions",Tea powder ingredients and extracts,0.801,0.801,0.801,0.801,0.801,0.801,0.801
"Coffee, cocoa, tea and infusions","Tea, decaffeinated, infusion",0.03,0.03,0.03,0.01,0.03,0.03,0.03
Composite dishes,Beans and meat meal,0.1189,0.159,0.1,0.159,0.1,0.1189,0.1
Composite dishes,Beans and vegetables meal,,0.072,0.072,0.072,0.27,0.072,0.27
Composite dishes,Beef loaf,0.1084,0.131,0.131,0.131,0.131,0.1084,0.131
Composite dishes,Bouillabaisse,,0.063,0.063,0.063,0.063,,0.063
Composite dishes,Ceasar salad,0.0593,0.0593,0.0593,0.0593,0.0593,0.0593,0.0593
Composite dishes,Cereal products and grains based soup,0.0313,0.064,0.064,0.064,0.064,0.0313,0.064
Composite dishes,Cheese omelette,0.3459,0.072,0.081,0.072,0.06,0.3459,0.06
Composite dishes,Cheese savoury pie,0.1143,0.055,0.055,0.055,0.094,0.1143,0.06
Composite dishes,Creamed vegetable mix,0.096,0.087,0.096,0.087,0.03,0.096,0.03
Composite dishes,Dairy/egg soup,0.1917,0.044,0.044,0.044,0.044,,0.044
Composite dishes,Dolma,0.279,0.279,0.279,0.279,0.279,0.279,0.279
Composite dishes,"Dolma, PROCESS Baking",0.0977,0.279,0.279,0.279,0.279,0.0977,0.279
Composite dishes,"Dolma, PROCESS Cooking in water",0.7343,0.279,0.279,0.279,0.57,0.7343,0.57
Composite dishes,"Dolma, PROCESS Steaming",0.7343,0.279,0.279,0.279,0.57,0.7343,0.57
Composite dishes,Doner kebab,,,0.135,,0.11,0.135,0.11
Composite dishes,Finger food,0.132,0.132,0.132,0.132,0.132,0.132,0.132
Composite dishes,Fish and potatoes meal,0.0668,0.074,0.074,0.074,0.05,0.0668,0.05
Composite dishes,Fish and rice meal,0.1193,,0.035,,0.08,0.1193,0.08
Composite dishes,Fish and vegetables meal,0.0792,0.064,0.064,0.064,0.06,,0.06
Composite dishes,Fish balls,0.1063,0.048,0.048,0.048,0.048,,0.048
Composite dishes,"Fish balls, PROCESS Baking",0.052,0.052,0.052,0.052,0.052,0.052,0.052
Composite dishes,"Fish balls, PROCESS Cooking in water",0.0823,0.052,0.052,0.052,0.07,0.0823,0.07
Composite dishes,"Fish balls, PROCESS Frying",0.04,0.052,0.052,0.052,0.04,0.04,0.052
Composite dishes,"Fish balls, PROCESS Steaming",0.0823,0.052,0.052,0.052,0.07,0.0823,0.07
Composite dishes,"Fish fingers, breaded",,0.038,0.148,0.038,0.2,,0.02
Composite dishes,Fish gratin,0.1963,0.069,0.069,0.069,0.069,,0.069
Composite dishes,Fish pâté,0.102,0.1,0.102,0.1,0.05,0.102,0.05
Composite dishes,Fish soup,0.0404,0.1,0.207,0.102,0.102,0.0404,0.207
Composite dishes,"Fish soup, INGRED Tap water",0.06,0.06,0.06,0.06,0.06,0.06,0.06
Composite dishes,Fishcakes,,0.07,0.053,0.07,0.07,,0.07
Composite dishes,Fried eggs,0.0735,0.051,0.065,0.051,0.06,0.0735,0.09
Composite dishes,Fruit soup,0.0114,0.073,0.073,0.073,0.073,0.0114,0.073
Composite dishes,Goulash,0.095,0.095,0.095,0.095,0.04,0.095,0.07
Composite dishes,Greek salad,0.0671,0.059,0.059,0.059,0.03,0.0671,0.03
Composite dishes,Hamburger with bread,0.0969,0.088,0.126,0.088,0.12,0.0969,0.12
Composite dishes,Hot dog with bread,,0.078,0.116,0.078,0.078,,0.116
Composite dishes,Hummus,,0.38,0.3,0.38,0.3,,0.3
Composite dishes,Lasagna,0.0837,0.08,0.066,0.08,0.1,0.0837,0.1
Composite dishes,Legume (beans) soup,0.1695,0.17,0.071,0.17,0.15,0.1695,0.08
Composite dishes,Legumes based dishes,0.3457,0.2,0.071,0.2,0.34,0.3457,0.34
Composite dishes,Meat and vegetable soup,0.1532,0.06,0.022,0.06,0.04,0.1532,0.04
Composite dishes,Meat balls,0.093,0.083,0.132,0.083,0.15,0.093,0.07
Composite dishes,Meat burger (no sandwich),0.0784,0.132,0.132,0.132,0.07,0.0784,0.13
Composite dishes,Meat in aspic,0.086,,0.086,,,0.086,0.086
Composite dishes,Meat loaf,0.3324,0.069,0.069,0.069,0.07,,0.07
Composite dishes,"Meat loaf with cheese, vegetables or other",0.0884,0.07,0.07,0.07,0.07,0.0884,0.07
Composite dishes,Meat soup,0.0396,0.037,0.066,0.037,0.04,0.0396,0.04
Composite dishes,Meat stew,0.0477,0.065,0.057,0.065,0.05,0.0477,0.05
Composite dishes,Meat terrine,0.066,0.555,0.066,0.555,0.555,0.066,0.066
Composite dishes,Mixed green salad,0.04,0.05,0.054,,0.04,0.054,0.01
Composite dishes,Mixed vegetable salad,0.0699,0.056,0.099,,0.04,0.0699,0.15
Composite dishes,Mixed vegetables soup,0.0366,0.047,0.07,0.047,0.02,0.0366,0.04
Composite dishes,"Mixed vegetables, boiled",0.05,0.071,0.111,0.071,0.07,0.05,0.02
Composite dishes,"Mixed vegetables, braised",0.115,0.098,0.115,0.098,0.098,0.115,0.115
